Food code;Main food description;WWEIA Category number;WWEIA Category description;Energy;Protein;Carbohydrate;Total Fat;Calcium;Iron
92121041;Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted;7302;Coffee;16;0,15;2,38;0,7;4;0,04
92130000;Coffee, pre-lightened and pre-sweetened with sugar;7302;Coffee;27;0,15;5,11;0,7;4;0,04
92130001;Coffee, decaffeinated, pre-lightened and pre-sweetened with sugar;7302;Coffee;27;0,14;5,11;0,69;4;0,04
92130005;Coffee, pre-lightened and pre-sweetened with low calorie sweetener;7302;Coffee;16;0,15;2,37;0,7;4;0,04
92130006;Coffee, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener;7302;Coffee;16;0,15;2,38;0,7;4;0,04
92130010;Coffee, pre-lightened;7302;Coffee;14;0,15;1,88;0,71;4;0,04
92130011;Coffee, decaffeinated, pre-lightened;7302;Coffee;14;0,15;1,89;0,71;4;0,04
92130020;Coffee, pre-sweetened with sugar;7302;Coffee;16;0,1;3,96;0,02;4;0,04
92130021;Coffee, decaffeinated, pre-sweetened with sugar;7302;Coffee;16;0,09;3,97;0,01;4;0,03
92130030;Coffee, pre-sweetened with low calorie sweetener;7302;Coffee;5;0,1;1,13;0;4;0,04
92130031;Coffee, decaffeinated, pre-sweetened with low calorie sweetener;7302;Coffee;5;0,1;1,14;0;4;0,03
92152000;Coffee and chicory, brewed;7302;Coffee;1;0,12;0;0,02;2;0,01
92152010;Coffee and chicory, brewed, decaffeinated;7302;Coffee;0;0,1;0;0;2;0,05
92161000;Coffee, Cappuccino;7302;Coffee;27;1,71;2,75;0,99;65;0,02
92161001;Coffee, Cappuccino, nonfat;7302;Coffee;19;1,75;2,76;0,07;68;0,02
92161002;Coffee, Cappuccino, with non-dairy milk;7302;Coffee;17;0,6;1,82;0,84;79;0,18
92162000;Coffee, Cappuccino, decaffeinated;7302;Coffee;27;1,72;2,76;0,99;65;0,02
92162001;Coffee, Cappuccino, decaffeinated, nonfat;7302;Coffee;19;1,75;2,77;0,07;68;0,02
92162002;Coffee, Cappuccino, decaffeinated, with non-dairy milk;7302;Coffee;17;0,6;1,83;0,85;79;0,18
92171000;Coffee, bottled/canned;7302;Coffee;71;1,98;12,6;1,38;74;0,04
92171010;Coffee, bottled/canned, light;7302;Coffee;35;1,27;5,91;0,7;46;0,01
